Station Name,Latitude,Longitude
Alipur,28.815329,77.15301
Anand_Vihar,28.646835,77.316032
Ashok_Vihar,28.695381,77.181665
Aya_Nagar,28.4706914,77.1099364
Bawana,28.7762,77.051074
Burari_Crossing,28.7256504,77.2011573
CRRI_Mathura_Road,28.5512005,77.2735737
DTU,28.7500499,77.1112615
Dr_Karni_Singh_Shooting_Range,28.498571,77.26484
Dwarka_Sector_8,28.5710274,77.0719006
East_Arjun_Nagar,28.6556017,77.2859318
IGI_Airport_T3,28.5627763,77.1180053
IHBAS,28.6811736,77.3025234
ITO,28.6316945,77.2494387
Jahangirpuri,28.73282,77.170633
Jawaharlal_Nehru_Stadium,28.58028,77.233829
Lodhi_Road,28.5918245,77.2273074
Major_Dhyan_Chand_National_Stadium,28.611281,77.237738
Mandir_Marg,28.636429,77.201067
Mundka,28.684678,77.076574
NSIT_Dwarka,28.60909,77.0325413
Najafgarh,28.570173,76.933762
Narela,28.822836,77.101981
Nehru_Nagar,28.56789,77.250515
North_Campus,28.6573814,77.1585447
Okhla_Phase_2,28.530785,77.271255
Patparganj,28.623748,77.287205
Punjabi_Bagh,28.563262,77.186937
Pusa_Delhi_DPCC,28.639645,77.146262
Pusa_New_Delhi_IMD,28.645000 ,77.167000 
RK_Puram,28.674045,77.131023
Rohini,28.732528,77.11992
Shadipur,28.6514781,77.1473105
Sirifort,28.5504249,77.2159377
Sonia_Vihar,28.710508,77.249485
Sri_Aurobindo_Marg,28.531346,77.190156
Vivek_Vihar,28.672342,77.31526
Wazirpur,28.699793,77.165453
